id,city_id:id,name,ext
city_HE_xt_15,city_HE_3,威县,130533000000
city_HE_xt_16,city_HE_3,清河县,130534000000
city_HE_xt_17,city_HE_3,临西县,130535000000
city_HE_xt_18,city_HE_3,河北邢台经济开发区,130571000000
city_HE_xt_19,city_HE_3,南宫市,130581000000
city_HE_xt_20,city_HE_3,沙河市,130582000000
city_HE_bd_1,city_HE_3,竞秀区,130602000000
city_HE_bd_2,city_HE_3,莲池区,130606000000
city_HE_bd_3,city_HE_3,满城区,130607000000
city_HE_bd_4,city_HE_3,清苑区,130608000000
city_HE_bd_5,city_HE_3,徐水区,130609000000
city_HE_bd_6,city_HE_3,涞水县,130623000000
city_HE_bd_7,city_HE_3,阜平县,130624000000
city_HE_bd_8,city_HE_3,定兴县,130626000000
city_HE_bd_9,city_HE_3,唐县,130627000000
city_HE_bd_10,city_HE_3,高阳县,130628000000
city_HE_bd_11,city_HE_3,容城县,130629000000
city_HE_bd_12,city_HE_3,涞源县,130630000000
city_HE_bd_13,city_HE_3,望都县,130631000000
city_HE_bd_14,city_HE_3,安新县,130632000000
city_HE_bd_15,city_HE_3,易县,130633000000
city_HE_bd_16,city_HE_3,曲阳县,130634000000
city_HE_bd_17,city_HE_3,蠡县,130635000000
city_HE_bd_18,city_HE_3,顺平县,130636000000
city_HE_bd_19,city_HE_3,博野县,130637000000
city_HE_bd_20,city_HE_3,雄县,130638000000
city_HE_bd_21,city_HE_3,保定高新技术产业开发区,130671000000
city_HE_bd_22,city_HE_3,保定白沟新城,130672000000
city_HE_bd_23,city_HE_3,涿州市,130681000000
city_HE_bd_24,city_HE_3,定州市,130682000000
city_HE_bd_25,city_HE_3,安国市,130683000000
city_HE_bd_26,city_HE_3,高碑店市,130684000000
city_HE_zjk_1,city_HE_3,桥东区,130702000000
city_HE_zjk_2,city_HE_3,桥西区,130703000000
city_HE_zjk_3,city_HE_3,宣化区,130705000000
city_HE_zjk_4,city_HE_3,下花园区,130706000000
city_HE_zjk_5,city_HE_3,万全区,130708000000
city_HE_zjk_6,city_HE_3,崇礼区,130709000000
city_HE_zjk_7,city_HE_3,张北县,130722000000
city_HE_zjk_8,city_HE_3,康保县,130723000000
city_HE_zjk_9,city_HE_3,沽源县,130724000000
city_HE_zjk_10,city_HE_3,尚义县,130725000000
city_HE_zjk_11,city_HE_3,蔚县,130726000000
city_HE_zjk_12,city_HE_3,阳原县,130727000000
city_HE_zjk_13,city_HE_3,怀安县,130728000000
city_HE_zjk_14,city_HE_3,怀来县,130730000000
city_HE_zjk_15,city_HE_3,涿鹿县,130731000000
city_HE_zjk_16,city_HE_3,赤城县,130732000000
city_HE_zjk_17,city_HE_3,张家口市高新技术产业开发区,130771000000
city_HE_zjk_18,city_HE_3,张家口市察北管理区,130772000000
city_HE_zjk_19,city_HE_3,张家口市塞北管理区,130773000000
city_HE_cd_1,city_HE_3,双桥区,130802000000
city_HE_cd_2,city_HE_3,双滦区,130803000000
city_HE_cd_3,city_HE_3,鹰手营子矿区,130804000000
city_HE_cd_4,city_HE_3,承德县,130821000000
city_HE_cd_5,city_HE_3,兴隆县,130822000000
city_HE_cd_6,city_HE_3,滦平县,130824000000
city_HE_cd_7,city_HE_3,隆化县,130825000000
city_HE_cd_8,city_HE_3,丰宁满族自治县,130826000000
city_HE_cd_9,city_HE_3,宽城满族自治县,130827000000
city_HE_cd_10,city_HE_3,围场满族蒙古族自治县,130828000000
city_HE_cd_11,city_HE_3,承德高新技术产业开发区,130871000000
city_HE_cd_12,city_HE_3,平泉市,130881000000
city_HE_cz_1,city_HE_3,新华区,130902000000
city_HE_cz_2,city_HE_3,运河区,130903000000
city_HE_cz_3,city_HE_3,沧县,130921000000
city_HE_cz_4,city_HE_3,青县,130922000000
city_HE_cz_5,city_HE_3,东光县,130923000000
city_HE_cz_6,city_HE_3,海兴县,130924000000
city_HE_cz_7,city_HE_3,盐山县,130925000000
city_HE_cz_8,city_HE_3,肃宁县,130926000000
city_HE_cz_9,city_HE_3,南皮县,130927000000
city_HE_cz_10,city_HE_3,吴桥县,130928000000
city_HE_cz_11,city_HE_3,献县,130929000000
city_HE_cz_12,city_HE_3,孟村回族自治县,130930000000
city_HE_cz_13,city_HE_3,河北沧州经济开发区,130971000000
city_HE_cz_14,city_HE_3,沧州高新技术产业开发区,130972000000
city_HE_cz_15,city_HE_3,沧州渤海新区,130973000000
city_HE_cz_16,city_HE_3,泊头市,130981000000
city_HE_cz_17,city_HE_3,任丘市,130982000000
city_HE_cz_18,city_HE_3,黄骅市,130983000000
city_HE_cz_19,city_HE_3,河间市,130984000000
city_HE_lf_1,city_HE_3,安次区,131002000000
city_HE_lf_2,city_HE_3,广阳区,131003000000
city_HE_lf_3,city_HE_3,固安县,131022000000
city_HE_lf_4,city_HE_3,永清县,131023000000
city_HE_lf_5,city_HE_3,香河县,131024000000
city_HE_lf_6,city_HE_3,大城县,131025000000
city_HE_lf_7,city_HE_3,文安县,131026000000
city_HE_lf_8,city_HE_3,大厂回族自治县,131028000000
city_HE_lf_9,city_HE_3,廊坊经济技术开发区,131071000000
city_HE_lf_10,city_HE_3,霸州市,131081000000
city_HE_lf_11,city_HE_3,三河市,131082000000
city_HE_hs_1,city_HE_3,桃城区,131102000000
city_HE_hs_2,city_HE_3,冀州区,131103000000
city_HE_hs_3,city_HE_3,枣强县,131121000000
city_HE_hs_4,city_HE_3,武邑县,131122000000
city_HE_hs_5,city_HE_3,武强县,131123000000
city_HE_hs_6,city_HE_3,饶阳县,131124000000
city_HE_hs_7,city_HE_3,安平县,131125000000
city_HE_hs_8,city_HE_3,故城县,131126000000
city_HE_hs_9,city_HE_3,景县,131127000000
city_HE_hs_10,city_HE_3,阜城县,131128000000
city_HE_hs_11,city_HE_3,河北衡水经济开发区,131171000000
city_HE_hs_12,city_HE_3,衡水滨湖新区,131172000000
city_HE_hs_13,city_HE_3,深州市,131182000000
city_SX_ty_1,city_SX_1,小店区,140105000000
city_SX_ty_2,city_SX_1,迎泽区,140106000000
city_SX_ty_3,city_SX_1,杏花岭区,140107000000
city_SX_ty_4,city_SX_1,尖草坪区,140108000000
city_SX_ty_5,city_SX_1,万柏林区,140109000000
city_SX_ty_6,city_SX_1,晋源区,140110000000
city_SX_ty_7,city_SX_1,清徐县,140121000000
city_SX_ty_8,city_SX_1,阳曲县,140122000000
city_SX_ty_9,city_SX_1,娄烦县,140123000000
city_SX_ty_10,city_SX_1,山西转型综合改革示范区,140171000000
city_SX_ty_11,city_SX_1,古交市,140181000000
city_SX_dt_1,city_SX_2,城区,140202000000
city_SX_dt_2,city_SX_2,矿区,140203000000
city_SX_dt_3,city_SX_2,南郊区,140211000000
city_SX_dt_4,city_SX_2,新荣区,140212000000
city_SX_dt_5,city_SX_2,阳高县,140221000000
